"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-24","   10","    0",,," 0554","0.00","   97","0.0","0.0",,"25","13","  564",,,,"  360","  360",,,,,"23.0","17.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-25","  100","  100",,," 1300","0.15","    2","1.5","0.0",,"31","18","   12",,,,"  270","  270",,,,,"18.3","15.0","    1",,,,,"    1",,"    1",,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-26","   70","   90",,," 2118","0.05","   21","0.1","1.0",,"33","26","  126",,,,"  315","  315",,,,,"18.3","14.1","    1",,,,,"    1",,"    1",,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-27","   90","   90",,," 0048","0.00","    4","0.0","1.0",,"33","24","   24",,,,"  360","  360",,,,,"17.2","15.0","    1",,,,,,,"    1",,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-28","   60","   60",,," 1830","0.00","   69","0.0","1.0",,"37","23","  408",,,,"  225","  225",,,,,"27.5","23.0","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-29","  100","  100",,," 0412","0.04","    0","0.0","0.0",,"49","37","    0",,,,"  225","  225",,,,,"34.4","23.0","    1",,,,,,,"    1",,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-30","   70","   90",,," 2130","0.00","   16","0.0","0.0",,"46","22","   96",,,,"  315","  315",,,,,"32.2","23.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-31","   10","   20",,," 0012","0.00","  100","0.0","0.0",,"33","19","  600",,,,"  315","  270",,,,,"28.9","17.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-01","   80","  100",,," 0612","0.00","    6","0.0","0.0",,"45","32","   36",,,,"  225","  225",,,,,"25.3","17.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-02","  100","  100",,," 1930","0.17","   12","0.0","0.0",,"53","35","   78",,,,"  225","  225",,,,,"57.5","42.9","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-03","  100","  100",,," 1524","1.27","    0","0.0","0.0",,"58","43","    0",,,,"  180","  180",,,,,"68.9","57.0","    1","    1",,,,,,"    1",,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-04","   50","   50",,," 0630","0.69","   67","0.5","1.0",,"44","11","  408",,,,"  315","  315",,,,,"39.1","32.0","    1",,,"    1",,"    1",,,"    1",,,,,,"    1",,"    1",,,
